ANO,REGIAO,UF,MUNICIPIO,AREA,DEPENDENCIA_ADM,LOCALIZACAO,NOTA_LP,NOTA_MT,SEXO,RACA_COR,MES_NASC,ANO_NASC,COMPUTADOR,ESC_MAE,ESC_PAI,USO_TEMPO_TELAS,AFAZERES_DOM,TRABALHO,PERSPECTIVAS
2017,Sudeste,MG,3170909,Interior,Estadual,Urbana,239.467502,212.794921,Masculino,NA,Agosto,2002,Não tem,Não completou a 4.ª série/5.º ano do Ensino Fundamental,Não completou a 4.ª série/5.º ano do Ensino Fundametal,Menos de 1 hora,Menos de 1 hora,Sim,Somente continuar estudando
2017,Sudeste,MG,3103405,Interior,Estadual,Urbana,259.30282,235.434164,Feminino,Branca,Maio,2003,"Sim, um",Completou a Faculdade,"Completou o Ensino Médio, mas não completou a Faculdade",Entre 1 e 2 horas,"Mais de 2 horas, até 3 horas",Não,Ainda não sei
2017,Centro-Oeste,GO,5208707,Capital,Estadual,Urbana,342.004844,288.827267,Feminino,Branca,Maio,2002,"Sim, dois",Não sei,Não sei,Mais de 3 horas,"Mais de 2 horas, até 3 horas",Não,Continuar estudando e trabalhar
2017,Norte,AM,6305553,Interior,Municipal,Rural,203.578253,194.223521,Masculino,Parda,Agosto,2001,Não tem,"Completou o Ensino Médio, mas não completou a Faculdade",Nunca estudou,Entre 1 e 2 horas,Menos de 1 hora,NA,Somente continuar estudando
2017,Nordeste,CE,2313906,Interior,Municipal,Rural,297.686917,264.617617,Masculino,Parda,Outubro,2002,Não tem,Não sei,Não sei,Menos de 1 hora,Menos de 1 hora,Não,Ainda não sei
2017,Sudeste,RJ,3304557,Capital,Municipal,Urbana,308.644767,280.225996,Masculino,Parda,Outubro,2002,"Sim, um","Completou o Ensino Médio, mas não completou a Faculdade",Não sei,Mais de 3 horas,Menos de 1 hora,Não,Continuar estudando e trabalhar
2017,Sudeste,SP,3552403,Interior,Estadual,Urbana,301.699146,296.253848,Masculino,Preta,Maio,2003,"Sim, dois","Completou o Ensino Médio, mas não completou a Faculdade","Completou o Ensino Médio, mas não completou a Faculdade","Mais de 2 horas, até 3 horas",Entre 1 e 2 horas,Não,Continuar estudando e trabalhar
2017,Nordeste,SE,2803203,Interior,Estadual,Urbana,189.95146,219.170782,Feminino,Amarela,Junho,2000,"Sim, um","Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental",Nunca estudou,Menos de 1 hora,Entre 1 e 2 horas,Não,Continuar estudando e trabalhar
2017,Sul,RS,4314407,Interior,Municipal,Rural,227.913156,288.179978,Masculino,Branca,Janeiro,2003,"Sim, três","Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio","Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental",Mais de 3 horas,Entre 1 e 2 horas,Não,Continuar estudando e trabalhar
2017,Sudeste,MG,3155603,Interior,Municipal,Urbana,190.03063,236.588844,Feminino,Parda,Abril,2003,Não tem,Não sei,NA,Entre 1 e 2 horas,NA,Não,Somente continuar estudando
2017,Sudeste,MG,3136009,Interior,Municipal,Rural,180.324116,230.525476,Masculino,Parda,Setembro,2002,"Sim, um",Nunca estudou,Nunca estudou,"Mais de 2 horas, até 3 horas",Não faço trabalhos domésticos,Sim,Somente trabalhar
2017,Nordeste,CE,2313203,Interior,Municipal,Urbana,241.884888,208.590812,Feminino,Parda,Março,2003,Não tem,Não sei,Não sei,"Mais de 2 horas, até 3 horas",Menos de 1 hora,Não,Ainda não sei
2017,Nordeste,BA,2913002,Interior,Municipal,Rural,184.009807,140.202972,Masculino,Parda,Outubro,2001,Não tem,Não sei,Não sei,Mais de 3 horas,Menos de 1 hora,Não,Ainda não sei
2017,Nordeste,PB,2515971,Interior,Municipal,Urbana,148.558495,210.866356,Masculino,Parda,Dezembro,2001,Não tem,Nunca estudou,Não completou a 4.ª série/5.º ano do Ensino Fundametal,Menos de 1 hora,Menos de 1 hora,Não,Ainda não sei
2017,Sudeste,SP,3547304,Interior,Municipal,Urbana,279.56693,283.050515,Feminino,Parda,Novembro,2003,"Sim, um","Completou o Ensino Médio, mas não completou a Faculdade","Completou o Ensino Médio, mas não completou a Faculdade","Mais de 2 horas, até 3 horas",Entre 1 e 2 horas,Não,Continuar estudando e trabalhar
2017,Sul,PR,4126256,Interior,Estadual,Urbana,304.926185,321.342125,Masculino,Parda,Julho,2003,"Sim, um",Não sei,"Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental",Entre 1 e 2 horas,Entre 1 e 2 horas,Não,Somente continuar estudando
2017,Norte,RR,1400100,Capital,Estadual,Urbana,204.467515,284.351968,Masculino,Parda,Junho,2002,Não tem,"Completou o Ensino Médio, mas não completou a Faculdade","Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio",Menos de 1 hora,Entre 1 e 2 horas,Não,Somente continuar estudando
